
Bei den �rztekammern registrierte ausl�ndische �rztinnen und �rzte (Anzahl). Gliederungsmerkmale: Jahre, Region, Staatsb�rgerschaft, T�tigkeitsbereich
****************************************************************************************************

Diese Tabelle bezieht sich auf:
Region:;Deutschland
T�tigkeitsbereich:;T�tigkeitsbereiche insgesamt
;"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";
"          Bhutan";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";"1";"1";
"          Brunei Darussalam";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"2";"2";"4";"4";"3";"3";"3";"2";"2";"1";
"          China";"92";"94";"96";"76";"81";"95";"98";"101";"118";"133";"123";"139";"153";"139";"137";"173";"158";"166";"179";"179";"175";"186";"195";"194";"197";"230";"250";"261";"276";"287";"301";"307";
"          Demokratische Volksrepublik Korea";"3";"2";"4";"5";"4";"6";"4";"4";"3";"12";"14";"14";"10";"11";"13";"15";"13";"21";"16";"13";"13";"13";"15";"24";"13";"12";"12";"11";"12";"13";"10";"11";
"          Demokratische Volksrepublik Laos";"10";"16";"18";"12";"7";"7";"4";"2";"2";"2";"3";"3";"3";"3";"2";"2";"2";"2";"2";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"          Georgien";"-";"-";"-";"-";"1";"1";"1";"3";"9";"16";"20";"28";"40";"61";"73";"87";"101";"115";"133";"149";"181";"218";"242";"273";"292";"344";"398";"434";"476";"523";"558";"598";
"          Hongkong";"1";"1";"1";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";
"          Indien";"95";"94";"94";"90";"98";"90";"92";"84";"84";"71";"71";"75";"84";"95";"92";"100";"100";"109";"121";"132";"150";"177";"209";"244";"318";"441";"540";"648";"757";"890";"1.018";"1.060";
"          Indonesien";"147";"149";"138";"136";"131";"133";"127";"133";"134";"133";"137";"131";"146";"149";"152";"159";"167";"176";"185";"198";"200";"254";"250";"269";"304";"340";"353";"394";"426";"451";"451";"484";
"          Irak";"76";"88";"94";"96";"92";"91";"111";"119";"131";"129";"138";"163";"168";"153";"160";"156";"156";"164";"168";"173";"171";"177";"189";"210";"243";"334";"404";"468";"555";"619";"679";"691";
"          Islamische Republik Iran";"1.050";"1.068";"1.124";"1.242";"1.301";"1.404";"1.474";"1.513";"1.531";"1.514";"1.473";"1.401";"1.316";"1.265";"1.201";"1.165";"1.106";"1.092";"1.100";"1.071";"1.081";"1.201";"1.211";"1.245";"1.295";"1.354";"1.427";"1.448";"1.510";"1.529";"1.539";"1.609";
"          Israel";"97";"100";"99";"100";"106";"111";"112";"112";"126";"126";"129";"134";"135";"131";"130";"134";"134";"147";"155";"169";"188";"221";"239";"258";"274";"300";"333";"344";"369";"383";"392";"402";
